timestamp,pair,direction,n_entries,entry_spread,exit_spread,entry_z,exit_z,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,balance_after,beta_stored,kelly_weight,mfe_pct,half_life_h
2026-07-16 15:26,TAKE/YFI,SHORT,3,0.103014,0.097194,2.343,1.844,0.5819,0.5541,1.4611,WIN,1.8,profit_lock,4286.38,-0.510164,0.8,1.608,15.084515178781478
2026-07-16 15:46,MUBARAK/RECALL,LONG,4,-2.002631,-1.922828,-2.272,-0.28,7.9803,0.6924,33.8415,WIN,2.3,MEAN,4320.01,0.723169,1.0,7.98,23.809056553711304
2026-07-16 16:06,SAND/SUSHI,LONG,4,-1.273056,-1.249373,-2.206,-1.031,2.3683,0.3455,4.769,WIN,3.2,profit_lock,4324.56,0.992268,0.5,2.695,26.945543721917726
2026-07-16 16:56,PYTH/SAPIEN,SHORT,8,0.082256,0.078684,2.653,2.332,0.3572,0.69,0.8502,WIN,4.1,swap,4324.96,1.190687,1.0,0.488,67.64362482199819
2026-07-16 17:21,CROSS/ETHW,LONG,7,-0.093305,-0.071621,-2.091,-1.561,2.1684,0.6858,8.6086,WIN,1.9,profit_lock,4333.21,1.870468,1.0,2.448,13.819411555490282
2026-07-16 17:56,H/MAVIA,LONG,6,-0.085274,-0.070181,-1.7,-1.206,1.5093,0.6932,5.8458,WIN,3.7,profit_lock,4338.71,0.756166,1.0,2.156,12.181123924464783
2026-07-16 18:01,H/HEMI,LONG,9,-0.110839,-0.100438,-2.032,-1.731,1.0402,0.6927,3.8104,WIN,4.1,profit_lock,4342.48,0.50299,1.0,2.042,17.498811339724558
2026-07-16 18:21,H/LPT,LONG,2,-1.734599,-1.723487,-1.907,-1.695,1.1111,0.6942,4.1267,WIN,0.4,profit_lock,4346.4,-2.617257,1.0,1.624,40.810578882921305
2026-07-16 18:26,TAKE/ZKC,SHORT,2,0.113176,0.1081,2.58,2.242,0.5076,0.6856,1.4895,WIN,3.5,profit_lock,4347.86,1.24577,1.0,1.791,12.79749634016519
2026-07-16 18:56,JUP/PENGU,LONG,7,2.230594,2.239938,-2.299,-1.656,0.9343,1.038,5.0235,WIN,2.0,swap,4352.59,0.756434,1.5,1.09,38.02444047310326
2026-07-16 19:11,H/MAGIC,LONG,7,-0.094518,-0.091551,-2.095,-1.62,0.2967,0.6897,0.5893,WIN,4.6,swap,4353.03,0.863561,1.0,1.378,18.61749381121023
2026-07-16 20:26,TAKE/YFI,SHORT,4,0.073288,0.059572,1.771,1.18,1.3715,0.5563,4.2126,WIN,2.1,profit_lock,4356.65,-0.509111,0.8,2.05,13.299275967554314
2026-07-16 20:51,TAKE/ZKC,SHORT,4,0.094216,0.09164,2.242,2.043,0.2576,0.6956,0.4242,WIN,2.4,profit_lock,4356.83,1.244011,1.0,1.643,12.262373474317087
2026-07-16 22:01,PENGU/SEI,SHORT,8,0.053165,0.049066,1.884,1.67,0.41,0.3474,0.5428,WIN,4.0,swap,4356.83,1.685221,0.5,0.69,23.846130012859913
2026-07-16 23:01,1000BONK/1000SHIB,LONG,4,6.799796,6.434103,-2.357,-0.968,-36.5693,0.3333,-76.5218,LOSS,31.3,STOP,4280.0,2.202664,0.5,1.965,29.18740867085755
2026-07-16 23:21,ENA/OP,SHORT,7,-1.029658,-1.035683,1.838,0.969,0.6025,1.0368,2.8672,WIN,7.6,swap,4282.64,0.629422,1.5,0.768,148.04428065326493
2026-07-16 23:36,ONDO/SAND,SHORT,20,0.065616,0.135901,2.233,1.702,-7.0286,0.3566,-16.0197,LOSS,32.9,TIMEOUT,4266.57,0.3772,0.5,0.911,16.244487815363247
2026-07-18 12:10,POPCAT/PUMP,LONG,13,-0.04425,-0.096373,-2.383,-1.774,-5.2123,1.0051,-33.7493,LOSS,67.9,TIMEOUT,4232.59,0.477691,1.5,0.689,17.975257244509024
2026-07-18 14:10,ACH/BB,SHORT,12,-1.999458,-2.019668,2.327,0.114,2.021,0.6964,8.1001,WIN,43.2,MEAN,4240.64,0.851454,1.0,2.021,23.740964742920895
2026-07-18 14:10,AXL/BIO,SHORT,5,0.020364,0.044965,1.84,1.773,-2.4601,0.6848,-11.214,LOSS,39.2,TIMEOUT,4229.43,0.885133,1.0,0.03,16.396928861963293
2026-07-18 14:21,ETHFI/SUSHI,SHORT,11,1.669775,1.851191,1.939,2.562,-18.1416,0.3425,-39.1737,LOSS,67.6,TIMEOUT,4190.19,1.43636,0.5,0.373,28.741012289958917
2026-07-18 14:21,ETHFI/SAND,SHORT,6,-0.014246,0.116828,1.437,2.395,-13.1074,0.346,-28.6874,LOSS,46.3,TIMEOUT,4161.5,0.294898,0.5,0.372,22.596170994061367
2026-07-18 14:25,CHR/ERA,SHORT,20,0.070422,0.307777,2.757,2.297,-23.7356,0.6884,-102.815,LOSS,49.9,TIMEOUT,4058.62,1.665059,1.0,0.968,19.559750338634554
2026-07-18 14:31,TAKE/ZKC,SHORT,4,0.090381,0.119627,2.043,1.427,-2.9246,0.6971,-13.4389,LOSS,41.7,TIMEOUT,4045.11,1.242842,1.0,0.0,10.822286274754854
2026-07-18 14:51,NEIRO/PNUT,SHORT,3,0.05964,0.097757,2.353,1.748,-3.8117,0.4797,-11.9067,LOSS,39.5,TIMEOUT,4033.09,3.077936,0.7,0.0,5.5757028352217235
2026-07-18 14:56,EIGEN/ENS,SHORT,7,0.050107,0.043183,2.264,0.153,0.6924,1.0456,3.4793,WIN,40.9,profit_lock,4036.54,-0.993114,1.5,2.244,8.160081597358243
2026-07-18 15:01,LDO/LTC,SHORT,17,-4.40502,-4.410489,2.301,0.455,0.5469,1.05,2.5389,WIN,69.2,MEAN,4038.94,0.885183,1.5,0.547,86.14797545635078
2026-07-18 15:01,ACE/BIGTIME,LONG,2,-0.017587,-0.015228,-1.723,-0.902,0.2358,0.6826,0.3236,WIN,39.4,swap,4039.21,0.532507,1.0,0.236,20.761690797668248
2026-07-18 15:26,PYTH/SAPIEN,SHORT,10,0.07676,0.075571,2.3,0.512,0.1189,0.6933,-0.178,LOSS,46.1,swap,4038.69,1.18828,1.0,1.011,77.39292055146817
