d $-114.52, Open 0/20
[2026-06-23 07:25:19] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 07:30:23] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 07:35:17] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 07:40:20] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 07:45:21] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 07:50:20] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 07:55:15] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 08:00:27] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 08:05:17] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
[2026-06-23 08:10:16] CLOSE AGT -1: SL pnl $-10.83 (-4.17%)
[2026-06-23 08:10:18] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:15:19] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:20:19] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:25:18] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:30:24] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:35:26] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:40:21] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:45:20] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:50:18] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 08:55:18] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 09:00:23] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 09:05:17] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 09:10:17] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 09:15:19] Cycle done. Cap $3583.09, Realized $-166.91, Open 5/20
[2026-06-23 09:20:16] CLOSE FHE -1: SL pnl $-7.45 (-2.82%)
[2026-06-23 09:20:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:25:22] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:30:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:35:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:40:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:45:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:50:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 09:55:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:00:25] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:05:18] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:10:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:15:23] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:20:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:25:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:30:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:35:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:40:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:45:20] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:50:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 10:55:16] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:00:28] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:05:15] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:10:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:15:22] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:20:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:25:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:30:21] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:35:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:40:19] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:45:18] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:50:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
[2026-06-23 11:55:17] Cycle done. Cap $3825.63, Realized $-174.37, Open 4/20
